Time (UTC),Forecasted Load,Actual Load
2024-01-03 02:30:00+00:00,42598.48,43588.74
2024-01-03 02:45:00+00:00,42891.32,43894.62
2024-01-03 03:00:00+00:00,43545.08,44349.72
2024-01-03 03:15:00+00:00,43975.75,44861.89
2024-01-03 03:30:00+00:00,44770.29,45303.86
2024-01-03 03:45:00+00:00,45456.99,45810.54
2024-01-03 04:00:00+00:00,46553.85,46824.37
2024-01-03 04:15:00+00:00,47430.59,47057.36
2024-01-03 04:30:00+00:00,48547.39,48190.48
2024-01-03 04:45:00+00:00,49863.7,49758.57
2024-01-03 05:00:00+00:00,52015.84,52304.6
2024-01-03 05:15:00+00:00,53564.22,53477.86
2024-01-03 05:30:00+00:00,54604.93,54028.99
2024-01-03 05:45:00+00:00,55791.21,55132.87
2024-01-03 06:00:00+00:00,57095.92,56588.41
2024-01-03 06:15:00+00:00,58064.07,57773.25
2024-01-03 06:30:00+00:00,59055.57,58901.13
2024-01-03 06:45:00+00:00,59682.14,59692.24
2024-01-03 07:00:00+00:00,60325.65,60398.93
2024-01-03 07:15:00+00:00,60817.21,60628.38
2024-01-03 07:30:00+00:00,61446.05,61235.35
2024-01-03 07:45:00+00:00,61504.52,61678.16
2024-01-03 08:00:00+00:00,61739.1,61767.04
2024-01-03 08:15:00+00:00,62175.24,62336.59
2024-01-03 08:30:00+00:00,62682.23,62603.34
2024-01-03 08:45:00+00:00,62841.75,62409.33
2024-01-03 09:00:00+00:00,63046.92,62737.64
2024-01-03 09:15:00+00:00,63062.41,62881.11
2024-01-03 09:30:00+00:00,63230.37,63266.91
2024-01-03 09:45:00+00:00,63323.03,63453.42
2024-01-03 10:00:00+00:00,63685.94,63900.95
2024-01-03 10:15:00+00:00,63823.82,64437.38
2024-01-03 10:30:00+00:00,63915.22,64605.82
2024-01-03 10:45:00+00:00,63854.05,64847.79
2024-01-03 11:00:00+00:00,63867.32,64881.97
2024-01-03 11:15:00+00:00,63739.16,64790.07
2024-01-03 11:30:00+00:00,63646.76,64197.44
2024-01-03 11:45:00+00:00,63523.11,63973.87
2024-01-03 12:00:00+00:00,63287.53,63697.33
2024-01-03 12:15:00+00:00,63073.42,63175.88
2024-01-03 12:30:00+00:00,62617.29,62982.15
2024-01-03 12:45:00+00:00,62132.72,62501.75
2024-01-03 13:00:00+00:00,61506.17,62288.68
2024-01-03 13:15:00+00:00,61455.28,61910.01
2024-01-03 13:30:00+00:00,61378.02,61854.75
2024-01-03 13:45:00+00:00,60924.93,61696.7
2024-01-03 14:00:00+00:00,61207.27,61919.9
2024-01-03 14:15:00+00:00,61087.87,61490.8
2024-01-03 14:30:00+00:00,60967.83,61326.97
2024-01-03 14:45:00+00:00,60792.32,61223.01
2024-01-03 15:00:00+00:00,60975.94,61599.86
2024-01-03 15:15:00+00:00,61141.22,61480.71
2024-01-03 15:30:00+00:00,61618.4,62173.38
2024-01-03 15:45:00+00:00,61743.51,63167.56
2024-01-03 16:00:00+00:00,62669.65,64157.03
2024-01-03 16:15:00+00:00,63501.83,64363.98
2024-01-03 16:30:00+00:00,63333.48,64696.38
2024-01-03 16:45:00+00:00,64023.94,65019.05
2024-01-03 17:00:00+00:00,64172.37,64853.55
2024-01-03 17:15:00+00:00,64106.99,64656.61
2024-01-03 17:30:00+00:00,64011.15,64498.38
2024-01-03 17:45:00+00:00,63608.7,64336.57
2024-01-03 18:00:00+00:00,63361.99,63707.12
2024-01-03 18:15:00+00:00,62768.05,62670.88
2024-01-03 18:30:00+00:00,62281.68,62088.3
2024-01-03 18:45:00+00:00,61991.12,61423.38
2024-01-03 19:00:00+00:00,61027.61,60129.36
2024-01-03 19:15:00+00:00,59845.65,59042.58
2024-01-03 19:30:00+00:00,59058.56,58056.86
2024-01-03 19:45:00+00:00,57998.18,57437.37
2024-01-03 20:00:00+00:00,57000.08,56652.84
2024-01-03 20:15:00+00:00,56286.55,56098.82
2024-01-03 20:30:00+00:00,55455.92,55456.16
2024-01-03 20:45:00+00:00,54701.19,54648.39
2024-01-03 21:00:00+00:00,53840.22,54047.14
2024-01-03 21:15:00+00:00,53050.97,53374.48
2024-01-03 21:30:00+00:00,52254.77,52161.91
2024-01-03 21:45:00+00:00,51181.68,51356.41
2024-01-03 22:00:00+00:00,49841.19,50288.4
2024-01-03 22:15:00+00:00,49005.43,49391.85
2024-01-03 22:30:00+00:00,48485.35,48577.32
2024-01-03 22:45:00+00:00,48025.52,47740.54
2024-01-03 23:00:00+00:00,46522.83,47357.97
2024-01-03 23:15:00+00:00,45595.89,46602.84
2024-01-03 23:30:00+00:00,45082.67,46075.29
2024-01-03 23:45:00+00:00,44446.51,45427.53
2024-01-04 00:00:00+00:00,43709.71,45343.45
2024-01-04 00:15:00+00:00,43549.46,45077.87
2024-01-04 00:30:00+00:00,43455.39,45598.3
2024-01-04 00:45:00+00:00,43017.89,45094.34
2024-01-04 01:00:00+00:00,42935.18,44615.66
2024-01-04 01:15:00+00:00,42506.14,44651.32
2024-01-04 01:30:00+00:00,42642.89,44645.58
2024-01-04 01:45:00+00:00,42651.61,44656.66
2024-01-04 02:00:00+00:00,42975.8,44896.61
2024-01-04 02:15:00+00:00,42909.71,44834.24
2024-01-04 02:30:00+00:00,43054.59,45025.64
2024-01-04 02:45:00+00:00,43495.96,45352.07
2024-01-04 03:00:00+00:00,44014.24,45492.0
2024-01-04 03:15:00+00:00,44218.01,46074.02
2024-01-04 03:30:00+00:00,44948.24,46585.47
2024-01-04 03:45:00+00:00,45853.88,46967.58
2024-01-04 04:00:00+00:00,47037.18,47994.6
2024-01-04 04:15:00+00:00,47854.97,48345.9
2024-01-04 04:30:00+00:00,48914.17,48818.55
2024-01-04 04:45:00+00:00,50023.83,49845.62
2024-01-04 05:00:00+00:00,52385.3,51695.57
2024-01-04 05:15:00+00:00,54104.32,53442.04
2024-01-04 05:30:00+00:00,55069.52,54130.26
2024-01-04 05:45:00+00:00,56296.61,55467.95
2024-01-04 06:00:00+00:00,57482.12,57328.86
2024-01-04 06:15:00+00:00,58251.08,58888.5
2024-01-04 06:30:00+00:00,59146.21,59826.56
2024-01-04 06:45:00+00:00,59647.22,61169.45
2024-01-04 07:00:00+00:00,60181.66,62510.89
2024-01-04 07:15:00+00:00,60750.34,62867.3
2024-01-04 07:30:00+00:00,61330.85,63328.31
2024-01-04 07:45:00+00:00,61524.93,63083.28
2024-01-04 08:00:00+00:00,61789.48,63583.63
2024-01-04 08:15:00+00:00,62221.1,64102.17
2024-01-04 08:30:00+00:00,62854.07,64586.34
2024-01-04 08:45:00+00:00,63060.74,64747.52
2024-01-04 09:00:00+00:00,63368.15,65031.29
2024-01-04 09:15:00+00:00,63361.59,65233.99
2024-01-04 09:30:00+00:00,63667.55,65564.2
2024-01-04 09:45:00+00:00,63783.23,65630.53
2024-01-04 10:00:00+00:00,64254.82,65424.03
2024-01-04 10:15:00+00:00,64442.5,65534.07
2024-01-04 10:30:00+00:00,64491.33,65700.66
2024-01-04 10:45:00+00:00,64449.89,65560.05
2024-01-04 11:00:00+00:00,64509.19,65674.17
2024-01-04 11:15:00+00:00,64337.45,65739.31
2024-01-04 11:30:00+00:00,64293.07,65559.18
2024-01-04 11:45:00+00:00,64247.35,65405.5
2024-01-04 12:00:00+00:00,64187.7,65829.24
2024-01-04 12:15:00+00:00,63874.38,65060.13
2024-01-04 12:30:00+00:00,63336.07,64196.52
2024-01-04 12:45:00+00:00,62697.61,63804.64
2024-01-04 13:00:00+00:00,62163.5,64262.3
2024-01-04 13:15:00+00:00,62141.34,63815.25
2024-01-04 13:30:00+00:00,62012.44,63529.51
2024-01-04 13:45:00+00:00,61569.11,63253.01
2024-01-04 14:00:00+00:00,61815.23,63543.35
2024-01-04 14:15:00+00:00,61642.12,63105.57
2024-01-04 14:30:00+00:00,61540.78,62898.82
2024-01-04 14:45:00+00:00,61406.85,62591.57
2024-01-04 15:00:00+00:00,61626.58,63231.3
2024-01-04 15:15:00+00:00,61662.98,63440.47
2024-01-04 15:30:00+00:00,62021.18,64172.64
2024-01-04 15:45:00+00:00,62085.48,64466.26
2024-01-04 16:00:00+00:00,62695.73,65436.52
2024-01-04 16:15:00+00:00,63569.08,65688.36
2024-01-04 16:30:00+00:00,63549.88,65821.03
2024-01-04 16:45:00+00:00,64453.48,65872.35
2024-01-04 17:00:00+00:00,64608.77,65334.2
2024-01-04 17:15:00+00:00,64558.86,64952.5
2024-01-04 17:30:00+00:00,64479.35,64739.5
2024-01-04 17:45:00+00:00,63981.71,64332.28
2024-01-04 18:00:00+00:00,63788.38,64255.09
2024-01-04 18:15:00+00:00,63028.63,63777.94
2024-01-04 18:30:00+00:00,62451.54,63182.32
2024-01-04 18:45:00+00:00,62203.89,62235.63
2024-01-04 19:00:00+00:00,61349.6,60861.84
2024-01-04 19:15:00+00:00,60187.01,59932.92
2024-01-04 19:30:00+00:00,59487.13,59444.61
2024-01-04 19:45:00+00:00,58398.81,58422.09
2024-01-04 20:00:00+00:00,57471.4,57488.41
2024-01-04 20:15:00+00:00,56856.81,56912.35
2024-01-04 20:30:00+00:00,55997.09,55947.62
2024-01-04 20:45:00+00:00,55159.1,55370.86
2024-01-04 21:00:00+00:00,54426.56,54670.84
2024-01-04 21:15:00+00:00,53615.01,53869.47
2024-01-04 21:30:00+00:00,52843.13,53027.75
2024-01-04 21:45:00+00:00,51715.12,52307.17
2024-01-04 22:00:00+00:00,50380.8,51159.96
2024-01-04 22:15:00+00:00,49475.59,50378.64
2024-01-04 22:30:00+00:00,48884.32,49913.52
2024-01-04 22:45:00+00:00,48206.86,48878.99
2024-01-04 23:00:00+00:00,48064.83,47712.7
2024-01-04 23:15:00+00:00,48087.92,46902.06
2024-01-04 23:30:00+00:00,47482.28,46707.09
2024-01-04 23:45:00+00:00,47017.54,46209.29
2024-01-05 00:00:00+00:00,45822.65,45956.09
2024-01-05 00:15:00+00:00,45553.85,45369.52
2024-01-05 00:30:00+00:00,44353.25,45018.39
2024-01-05 00:45:00+00:00,44613.24,44623.55
2024-01-05 01:00:00+00:00,45397.33,44198.33
2024-01-05 01:15:00+00:00,43965.18,44106.96
2024-01-05 01:30:00+00:00,44125.47,43918.96
2024-01-05 01:45:00+00:00,45175.48,44236.66
2024-01-05 02:00:00+00:00,45014.59,44427.79
2024-01-05 02:15:00+00:00,44754.71,44360.14
2024-01-05 02:30:00+00:00,44695.54,44314.04
2024-01-05 02:45:00+00:00,45606.2,44485.7
2024-01-05 03:00:00+00:00,46278.01,45082.08
2024-01-05 03:15:00+00:00,46421.58,45541.04
2024-01-05 03:30:00+00:00,46832.4,45769.14
2024-01-05 03:45:00+00:00,45012.43,46296.55
2024-01-05 04:00:00+00:00,45953.85,47319.05
2024-01-05 04:15:00+00:00,46722.28,47872.0
2024-01-05 04:30:00+00:00,47604.23,48182.45
2024-01-05 04:45:00+00:00,49209.26,49057.58
2024-01-05 05:00:00+00:00,51459.41,51002.23
2024-01-05 05:15:00+00:00,52985.71,52346.91
2024-01-05 05:30:00+00:00,54104.57,53472.61
2024-01-05 05:45:00+00:00,55267.06,54489.96
2024-01-05 06:00:00+00:00,56721.17,56157.12
2024-01-05 06:15:00+00:00,57598.99,57767.18
2024-01-05 06:30:00+00:00,58302.88,58909.76
2024-01-05 06:45:00+00:00,59075.5,59981.7
2024-01-05 07:00:00+00:00,59830.72,60855.35
2024-01-05 07:15:00+00:00,60344.6,61486.21
2024-01-05 07:30:00+00:00,60920.42,62097.35
2024-01-05 07:45:00+00:00,61101.66,62164.44
2024-01-05 08:00:00+00:00,61278.64,62561.18
2024-01-05 08:15:00+00:00,61917.55,63147.09
2024-01-05 08:30:00+00:00,62185.16,63398.7
2024-01-05 08:45:00+00:00,62302.83,63840.51
2024-01-05 09:00:00+00:00,62389.38,63834.29
2024-01-05 09:15:00+00:00,62309.12,63898.05
2024-01-05 09:30:00+00:00,62626.3,64092.9
2024-01-05 09:45:00+00:00,62714.51,64263.24
2024-01-05 10:00:00+00:00,63185.82,64647.65
2024-01-05 10:15:00+00:00,63055.16,64816.06
2024-01-05 10:30:00+00:00,62972.33,64798.87
2024-01-05 10:45:00+00:00,62691.74,64837.39
2024-01-05 11:00:00+00:00,62553.72,64553.15
2024-01-05 11:15:00+00:00,62179.66,64491.0
2024-01-05 11:30:00+00:00,62314.32,64525.85
2024-01-05 11:45:00+00:00,62018.2,64467.2
2024-01-05 12:00:00+00:00,61911.05,63812.76
2024-01-05 12:15:00+00:00,61887.04,63481.2
2024-01-05 12:30:00+00:00,61480.19,63161.69
2024-01-05 12:45:00+00:00,60604.11,62392.1
2024-01-05 13:00:00+00:00,60525.81,62447.46
2024-01-05 13:15:00+00:00,60309.06,62170.71
2024-01-05 13:30:00+00:00,60287.23,62157.09
2024-01-05 13:45:00+00:00,60082.06,61820.32
2024-01-05 14:00:00+00:00,60345.86,61621.52
2024-01-05 14:15:00+00:00,59841.01,61563.38
2024-01-05 14:30:00+00:00,59499.42,61659.67
2024-01-05 14:45:00+00:00,59700.93,61974.3
2024-01-05 15:00:00+00:00,60292.6,62103.2
2024-01-05 15:15:00+00:00,60322.46,62253.57
2024-01-05 15:30:00+00:00,60160.75,63005.01
2024-01-05 15:45:00+00:00,60988.33,63787.14
2024-01-05 16:00:00+00:00,61805.76,64758.91
2024-01-05 16:15:00+00:00,62085.8,64922.4
2024-01-05 16:30:00+00:00,62887.61,65196.74
2024-01-05 16:45:00+00:00,62900.71,65500.91
2024-01-05 17:00:00+00:00,63206.26,65288.44
2024-01-05 17:15:00+00:00,62989.01,65174.49
2024-01-05 17:30:00+00:00,63036.83,65114.37
2024-01-05 17:45:00+00:00,62817.83,64413.69
2024-01-05 18:00:00+00:00,62559.7,64139.52
2024-01-05 18:15:00+00:00,61581.07,63336.96
2024-01-05 18:30:00+00:00,61313.99,62767.87
2024-01-05 18:45:00+00:00,60931.57,62013.13
2024-01-05 19:00:00+00:00,59927.51,60863.93
2024-01-05 19:15:00+00:00,58980.0,59928.63
2024-01-05 19:30:00+00:00,58060.05,58946.15
2024-01-05 19:45:00+00:00,57528.82,58133.61
2024-01-05 20:00:00+00:00,56112.72,57543.3
2024-01-05 20:15:00+00:00,55274.14,56861.61
2024-01-05 20:30:00+00:00,54635.82,55997.59
2024-01-05 20:45:00+00:00,53920.78,55069.76
2024-01-05 21:00:00+00:00,53315.14,54959.67
2024-01-05 21:15:00+00:00,52870.25,54222.83
2024-01-05 21:30:00+00:00,52194.14,53757.86
2024-01-05 21:45:00+00:00,51216.87,52472.99
2024-01-05 22:00:00+00:00,50052.86,51565.09
2024-01-05 22:15:00+00:00,49257.65,50601.91
2024-01-05 22:30:00+00:00,48084.5,50019.65
2024-01-05 22:45:00+00:00,47725.15,49476.74
2024-01-05 23:00:00+00:00,46476.83,48597.17
2024-01-05 23:15:00+00:00,45481.48,47747.17
2024-01-05 23:30:00+00:00,44286.9,47221.34
2024-01-05 23:45:00+00:00,44557.0,46666.9
2024-01-06 00:00:00+00:00,44018.84,46022.07
2024-01-06 00:15:00+00:00,43728.46,45798.26
2024-01-06 00:30:00+00:00,43118.92,45833.77
2024-01-06 00:45:00+00:00,42520.56,45690.16
2024-01-06 01:00:00+00:00,42178.72,45332.52
2024-01-06 01:15:00+00:00,41768.72,44936.98
2024-01-06 01:30:00+00:00,41985.83,44818.8
2024-01-06 01:45:00+00:00,41846.96,44348.65
2024-01-06 02:00:00+00:00,41555.29,44516.96
2024-01-06 02:15:00+00:00,41364.38,44278.96
2024-01-06 02:30:00+00:00,41206.46,44071.83
2024-01-06 02:45:00+00:00,41236.53,44026.24
2024-01-06 03:00:00+00:00,41289.09,44243.62
2024-01-06 03:15:00+00:00,40941.9,44288.47
2024-01-06 03:30:00+00:00,41042.53,44431.35
2024-01-06 03:45:00+00:00,41022.06,44292.57
2024-01-06 04:00:00+00:00,42143.65,44628.35
2024-01-06 04:15:00+00:00,41980.81,44547.31
2024-01-06 04:30:00+00:00,42864.35,44631.16
2024-01-06 04:45:00+00:00,42339.1,44743.61
2024-01-06 05:00:00+00:00,43080.79,45005.52
2024-01-06 05:15:00+00:00,43281.01,45164.44
2024-01-06 05:30:00+00:00,44566.68,45408.58
2024-01-06 05:45:00+00:00,44681.11,45400.47
2024-01-06 06:00:00+00:00,45475.91,45883.17
2024-01-06 06:15:00+00:00,46656.41,46543.91
2024-01-06 06:30:00+00:00,47185.49,47106.86
2024-01-06 06:45:00+00:00,48509.64,47859.02
2024-01-06 07:00:00+00:00,49579.38,49104.17
2024-01-06 07:15:00+00:00,49654.73,50165.33
2024-01-06 07:30:00+00:00,50539.16,50759.32
2024-01-06 07:45:00+00:00,51452.35,51613.8
2024-01-06 08:00:00+00:00,52074.64,52943.29
2024-01-06 08:15:00+00:00,52687.7,53519.17
2024-01-06 08:30:00+00:00,52884.38,54231.07
